"Phase","C1_Avg","C1_Std","C10_Avg","C10_Std","C11_Avg","C11_Std","C12_Avg","C12_Std","C2_Avg","C2_Std","C3_Avg","C3_Std","C4_Avg","C4_Std","C5_Avg","C5_Std","C6_Avg","C6_Std","C7_Avg","C7_Std","C8_Avg","C8_Std","C9_Avg","C9_Std","D1_Avg","D1_Std","D10_Avg","D10_Std","D11_Avg","D11_Std","D12_Avg","D12_Std","D2_Avg","D2_Std","D3_Avg","D3_Std","D4_Avg","D4_Std","D5_Avg","D5_Std","D6_Avg","D6_Std","D7_Avg","D7_Std","D8_Avg","D8_Std","D9_Avg","D9_Std"
"'1010 1010 1001 1000 0101'",0,0,0.000132752061257714,5.50506862283191e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1010 0101 0000'",0,0,0.000365537953175052,0.000108495632051878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1010 0101 0100'",0,0,3.27182305980893e-05,5.66696377296452e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23624595469256e-05,5.60534241931676e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1010 0101 0101'",0,0,9.81546917942678e-05,0.000170008913188936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1010 0110 0101'",0,0,3.27182305980893e-05,5.66696377296452e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1010 0111 0101'",0,0,0.000100033830659624,1.89116629816833e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1010 1010 0101'",0,0,6.54364611961785e-05,0.00011333927545929,0,0,0,0,0,0,0,0,0,0,6.56903411036167e-05,5.70058894862773e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1011 1010 0101 0001 0000'",0,0,3.27182305980893e-05,5.66696377296452e-05,0,0,0,0,0,0,0,0,6.65377549545874e-05,5.76244711534572e-05,0,0,0,0,0,0,0,0,3.23624595469256e-05,5.60534241931676e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1011 1010 0101 0101 0000'",0,0,0.000267383261380784,6.16196017401795e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000235486504679836,0.000119947561479021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1011 1010 0101 0101 0001'",0,0,0.000165470291855803,0.00011171604754586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23624595469256e-05,5.60534241931676e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
